List Length, Binary Insertionsort, Bubblesort, Combsort, Heapsort, Insertionsort, Mergesort, Quicksort, Selectionsort, n², nlog(n)
3, 19, 23, 24, 58, 13, 13, 17, 21, 9, 1
4, 33, 44, 48, 99, 23, 21, 27, 36, 16, 2
5, 50, 70, 76, 125, 38, 30, 37, 55, 25, 3
6, 69, 102, 111, 168, 52, 40, 49, 78, 36, 4
7, 88, 139, 158, 196, 70, 51, 62, 105, 49, 5
8, 112, 184, 182, 247, 92, 62, 72, 136, 64, 7
9, 137, 235, 237, 285, 118, 75, 87, 171, 81, 8
10, 162, 291, 258, 336, 142, 86, 98, 210, 100, 10
20, 492, 1176, 694, 827, 514, 229, 260, 820, 400, 26
30, 959, 2671, 1256, 1370, 1171, 392, 443, 1830, 900, 44
40, 1558, 4797, 1968, 1983, 2088, 573, 637, 3240, 1600, 64
50, 2243, 7417, 2652, 2617, 3180, 763, 862, 5050, 2500, 84
60, 3068, 10785, 3228, 3260, 4566, 962, 1072, 7260, 3600, 106
70, 3993, 14633, 4009, 3944, 6264, 1171, 1293, 9870, 4900, 129
80, 4978, 19083, 4917, 4644, 8242, 1384, 1556, 12880, 6400, 152
90, 6118, 24384, 5635, 5368, 10246, 1603, 1756, 16290, 8100, 175
100, 7360, 29861, 6604, 6095, 12741, 1824, 2022, 20100, 10000, 200
200, 25493, 119670, 15883, 13927, 50369, 4242, 4751, 80200, 40000, 460
300, 54181, 269329, 26713, 22475, 112881, 6893, 7675, 180300, 90000, 743
400, 92389, 479816, 37768, 31480, 201223, 9680, 10742, 320400, 160000, 1040
500, 141864, 749195, 49653, 40671, 312997, 12555, 14018, 500500, 250000, 1349
600, 199935, 1080648, 62670, 50264, 452132, 15578, 17434, 720600, 360000, 1666
700, 269108, 1468862, 76218, 60112, 614613, 18647, 20896, 980700, 490000, 1991
800, 348322, 1916787, 87404, 70105, 803636, 21755, 24136, 1280800, 640000, 2322
900, 438690, 2431337, 103264, 80141, 1018016, 24928, 27832, 1620900, 810000, 2658
1000, 537852, 2995050, 114342, 90254, 1255230, 28116, 31641, 2001000, 1000000, 3000
2000, 2081588, 12000849, 263544, 198517, 5006007, 62228, 69936, 8002000, 4000000, 6602
3000, 4633736, 27004655, 424274, 314251, 11258903, 98736, 111339, 18003000, 9000000, 10431
4000, 8183356, 47976806, 605778, 432825, 19985084, 136471, 154237, 32004000, 16000000, 14408
5000, 12726992, 74996179, 781285, 556408, 31272693, 175681, 196824, 50005000, 25000000, 18494
6000, 18288366, 107992415, 942001, 682398, 44967754, 215530, 242639, 72006000, 36000000, 22668
7000, 24863256, 146917704, 1136570, 809566, 61220688, 256061, 288593, 98007000, 49000000, 26915
8000, 32362868, 192009871, 1344696, 937728, 80050492, 296931, 333650, 128008000, 64000000, 31224
9000, 40979772, 243137984, 1508537, 1069427, 101256044, 338919, 379602, 162009000, 81000000, 35588
10000, 50494810, 300004018, 1731660, 1202842, 124977557, 381326, 428321, 200010000, 100000000, 40000
20000, 201101893, 1200082296, 3763926, 2585813, 500164511, 822716, 926965, 800020000, 400000000, 86020
30000, 451758666, 2699995429, 5941947, 4033984, 1124624810, 1285785, 1449463, 1800030000, 900000000, 134313
40000, 802151681, 4800106262, 8085331, 5531332, 2000085574, 1765420, 1975983, 3200040000, 1600000000, 184082
50000, 1253166388, 7500781715, 10356226, 7062304, 3124976720, 2254551, 2521640, 5000050000, 2500000000, 234948
60000, 1803829623, 10800093064, 12920376, 8607603, 4499474599, 2751616, 3079173, 7200060000, 3600000000, 286689
70000, 2454086533, 14700177055, 14858502, 10178400, 6127650969, 3256881, 3620778, 9800070000, 4900000000, 339156
80000, 3205253702, 19200252220, 17368086, 11782462, 8000507714, 3770690, 4204612, 12800080000, 6400000000, 392247
90000, 4054135533, 24301406164, 20159812, 13399149, 10128053223, 4288464, 4750318, 16200090000, 8100000000, 445881
100000, 5008242649, 29999867363, 22207446, 15024635, 12498307800, 4809200, 5323613, 20000100000, 10000000000, 500000
