name,list length, expected O(), actual O()
Binary Insertionsort,5,25,50,0.004554
Binary Insertionsort,10,100,159,0.007232
Binary Insertionsort,50,2500,2253,0.029235
Binary Insertionsort,100,10000,7358,0.140734
Binary Insertionsort,500,250000,141889,0.479942
Binary Insertionsort,1000,1000000,537367,1.481462
Bubblesort,5,25,70,0.005145
Bubblesort,10,100,293,0.007984
Bubblesort,50,2500,7413,0.058359
Bubblesort,100,10000,29927,0.263844
Bubblesort,500,250000,749513,4.352653
Bubblesort,1000,1000000,2996602,4.082873
Combsort,5,None,75,0.004884
Combsort,10,None,256,0.008592
Combsort,50,None,2654,0.036231
Combsort,100,None,6595,0.153249
Combsort,500,None,49602,0.167134
Combsort,1000,None,114132,0.376369
Heapsort,5,3,128,0.010371
Heapsort,10,10,336,0.013068
Heapsort,50,84,2617,0.039867
Heapsort,100,200,6101,0.150087
Heapsort,500,1349,40657,0.324386
Heapsort,1000,3000,90257,1.762251
Insertionsort,5,25,35,0.002851
Insertionsort,10,100,139,0.006525
Insertionsort,50,2500,3187,0.024841
Insertionsort,100,10000,12589,0.158736
Insertionsort,500,250000,313391,0.347147
Insertionsort,1000,1000000,1251749,1.437387
Mergesort,5,3,30,0.021367
Mergesort,10,10,87,0.028392
Mergesort,50,84,764,0.183531
Mergesort,100,200,1827,0.272021
Mergesort,500,1349,12557,1.340241
Mergesort,1000,3000,28119,3.330333
Quicksort,5,3,37,0.019145
Quicksort,10,10,101,0.014179
Quicksort,50,84,850,0.087778
Quicksort,100,200,2010,0.188583
Quicksort,500,1349,14083,1.282464
Quicksort,1000,3000,31094,3.538653
Selectionsort,5,25,55,0.005956
Selectionsort,10,100,210,0.006919
Selectionsort,50,2500,5050,0.040157
Selectionsort,100,10000,20100,0.20521
Selectionsort,500,250000,500500,1.140825
Selectionsort,1000,1000000,2001000,4.438215
