List Length, Binary Insertionsort, Bubblesort, Combsort, Heapsort, Insertionsort, Mergesort, Quicksort, Selectionsort, n^2, n*log(n)
3, 18, 21, 21, 57, 10, 13, 16, 21, 9, 1.4313637641589874
4, 31, 41, 38, 96, 22, 20, 25, 36, 16, 2.4082399653118496
5, 47, 66, 74, 124, 32, 29, 33, 55, 25, 3.494850021680094
6, 66, 96, 112, 166, 46, 39, 45, 78, 36, 4.668907502301861
7, 86, 133, 154, 192, 62, 50, 55, 105, 49, 5.915686280099798
8, 108, 177, 183, 245, 78, 60, 68, 136, 64, 7.224719895935548
9, 130, 224, 241, 286, 104, 71, 81, 171, 81, 8.588182584953923
10, 154, 280, 262, 335, 126, 83, 94, 210, 100, 10.0
20, 470, 1132, 702, 830, 465, 219, 255, 820, 400, 26.020599913279625
30, 914, 2572, 1257, 1373, 1058, 368, 436, 1830, 900, 44.31363764158987
40, 1463, 4570, 1978, 1977, 1915, 538, 624, 3240, 1600, 64.08239965311849
50, 2143, 7148, 2669, 2613, 2891, 715, 844, 5050, 2500, 84.94850021680094
60, 2878, 10302, 3234, 3262, 4101, 892, 1063, 7260, 3600, 106.68907502301862
70, 3647, 14043, 4034, 3958, 5561, 1102, 1294, 9870, 4900, 129.156862800998
80, 4622, 18537, 4941, 4645, 7289, 1278, 1509, 12880, 6400, 152.24719895935547
90, 5671, 23341, 5611, 5382, 9181, 1472, 1768, 16290, 8100, 175.88182584953924
100, 6771, 28823, 6630, 6096, 11361, 1696, 2018, 20100, 10000, 200.0
200, 23107, 115655, 15952, 13946, 45011, 3848, 4758, 80200, 40000, 460.20599913279625
300, 49448, 259682, 26860, 22484, 101283, 6251, 7597, 180300, 90000, 743.1363764158988
400, 83307, 466369, 37721, 31524, 180115, 8783, 10751, 320400, 160000, 1040.823996531185
500, 125815, 719257, 49933, 40583, 273251, 11408, 13897, 500500, 250000, 1349.4850021680095
600, 185840, 1037246, 62748, 50293, 408847, 14144, 17398, 720600, 360000, 1666.890750230186
700, 244791, 1417737, 76260, 60235, 547377, 16321, 20757, 980700, 490000, 1991.5686280099799
800, 313576, 1844259, 87459, 69858, 712897, 19879, 24110, 1280800, 640000, 2322.471989593555
900, 393743, 2354679, 103611, 79975, 910315, 22216, 27861, 1620900, 810000, 2658.8182584953925
1000, 484707, 2847003, 114970, 90080, 1103223, 25045, 31356, 2001000, 1000000, 3000.0
2000, 1880328, 11601311, 262983, 198167, 4434362, 55460, 69096, 8002000, 4000000, 6602.059991327962
3000, 4186668, 25937604, 426773, 313678, 9900306, 88880, 110518, 18003000, 9000000, 10431.363764158988
4000, 7447540, 46631969, 605107, 431427, 17586281, 121275, 153030, 32004000, 16000000, 14408.23996531185
5000, 11187975, 71828888, 785232, 555678, 28033887, 150934, 196221, 50005000, 25000000, 18494.850021680093
6000, 16353591, 105283946, 943128, 680178, 39841069, 187596, 241693, 72006000, 36000000, 22668.90750230186
7000, 22401760, 142620175, 1137657, 808591, 54074494, 224495, 286195, 98007000, 49000000, 26915.6862800998
8000, 28714120, 185565001, 1342938, 936968, 71664363, 262400, 333018, 128008000, 64000000, 31224.719895935552
9000, 35834229, 234805588, 1508207, 1067994, 88705661, 294507, 379644, 162009000, 81000000, 35588.182584953924
10000, 45229490, 290141305, 1733895, 1199809, 111896826, 332391, 427877, 200010000, 100000000, 40000.0
20000, 181095244, 1152474915, 3767253, 2580486, 449371148, 710793, 923271, 800020000, 400000000, 86020.59991327963
30000, 392055589, 2613472056, 5937621, 4020383, 1019582708, 1125427, 1445484, 1800030000, 900000000, 134313.63764158988
40000, 711720102, 4585804827, 8096419, 5512828, 1784996798, 1505902, 1971831, 3200040000, 1600000000, 184082.3996531185
50000, 1120872579, 7195662855, 10374512, 7047546, 2817421080, 1957947, 2508754, 5000050000, 2500000000, 234948.50021680092
60000, 1607507250, 10452596365, 12941109, 8599878, 4115941069, 2385132, 3070891, 7200060000, 3600000000, 286689.07502301864
70000, 2233362675, 14247953980, 14851681, 10157403, 5385729374, 2708651, 3649430, 9800070000, 4900000000, 339156.862800998
80000, 2867813740, 18558728058, 17380442, 11755532, 7081277379, 3188477, 4192165, 12800080000, 6400000000, 392247.1989593555
90000, 3636813747, 23522807152, 20162857, 13360000, 9117712615, 3736330, 4753326, 16200090000, 8100000000, 445881.82584953925
100000, 4547033441, 28784782888, 22224174, 14985782, 11244986557, 4063325, 5369192, 20000100000, 10000000000, 500000.0
